family,subtype,standard,diameter,name_stem,measured_max_span_mm,path_step,path_stl,path_fcstd
Nuts,Nyloc,DIN985,M4,NylocNut_M4_DIN985,7.7,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M4_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M4_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M4_DIN985.FCStd
Nuts,Nyloc,DIN985,M5,NylocNut_M5_DIN985,8.9,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M5_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M5_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M5_DIN985.FCStd
Nuts,Nyloc,DIN985,M6,NylocNut_M6_DIN985,11.05,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M6_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M6_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M6_DIN985.FCStd
Nuts,Nyloc,DIN985,M8,NylocNut_M8_DIN985,14.5,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M8_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M8_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M8_DIN985.FCStd
Nuts,Nyloc,DIN985,M10,NylocNut_M10_DIN985,17.9,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M10_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M10_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M10_DIN985.FCStd
Nuts,Nyloc,DIN985,M12,NylocNut_M12_DIN985,20.1,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M12_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M12_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M12_DIN985.FCStd
Nuts,Nyloc,DIN985,M16,NylocNut_M16_DIN985,26.9,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M16_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M16_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M16_DIN985.FCStd
Nuts,Nyloc,DIN985,M20,NylocNut_M20_DIN985,33.7,C:\FastenersLib\Nuts\Nyloc\DIN985\STEP\NylocNut_M20_DIN985.step,C:\FastenersLib\Nuts\Nyloc\DIN985\STL\NylocNut_M20_DIN985.stl,C:\FastenersLib\Nuts\Nyloc\DIN985\FCStd\NylocNut_M20_DIN985.FCStd
