family,subtype,standard,diameter,name_stem,measured_max_span_mm,path_step,path_stl,path_fcstd
Nuts,Nyloc,ISO10512,M4,NylocNut_M4_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M4_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M4_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M4_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M5,NylocNut_M5_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M5_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M5_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M5_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M6,NylocNut_M6_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M6_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M6_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M6_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M8,NylocNut_M8_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M8_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M8_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M8_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M10,NylocNut_M10_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M10_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M10_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M10_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M12,NylocNut_M12_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M12_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M12_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M12_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M16,NylocNut_M16_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M16_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M16_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M16_ISO10512.FCStd
Nuts,Nyloc,ISO10512,M20,NylocNut_M20_ISO10512,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10512\STEP\NylocNut_M20_ISO10512.step,C:\FastenersLib\Nuts\Nyloc\ISO10512\STL\NylocNut_M20_ISO10512.stl,C:\FastenersLib\Nuts\Nyloc\ISO10512\FCStd\NylocNut_M20_ISO10512.FCStd
