family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Flat_Head,ISO10642,M8,50,FlatHead_M8x50_ISO10642,50.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M8x50_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M8x50_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M8x50_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M8,60,FlatHead_M8x60_ISO10642,60.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M8x60_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M8x60_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M8x60_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M8,80,FlatHead_M8x80_ISO10642,80.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M8x80_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M8x80_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M8x80_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,20,FlatHead_M10x20_ISO10642,20.5,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x20_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x20_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x20_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,25,FlatHead_M10x25_ISO10642,25.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x25_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x25_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x25_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,30,FlatHead_M10x30_ISO10642,30.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x30_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x30_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x30_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,35,FlatHead_M10x35_ISO10642,35.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x35_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x35_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x35_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,40,FlatHead_M10x40_ISO10642,40.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x40_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x40_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x40_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,50,FlatHead_M10x50_ISO10642,50.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x50_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x50_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x50_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,60,FlatHead_M10x60_ISO10642,60.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x60_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x60_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x60_ISO10642.FCStd
