family,subtype,standard,diameter,name_stem,measured_max_span_mm,path_step,path_stl,path_fcstd
Nuts,Nyloc,ISO10511,M4,NylocNut_M4_ISO10511,7.66,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M4_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M4_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M4_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M5,NylocNut_M5_ISO10511,8.79,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M5_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M5_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M5_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M6,NylocNut_M6_ISO10511,11.05,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M6_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M6_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M6_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M8,NylocNut_M8_ISO10511,14.38,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M8_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M8_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M8_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M10,NylocNut_M10_ISO10511,17.77,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M10_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M10_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M10_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M12,NylocNut_M12_ISO10511,20.03,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M12_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M12_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M12_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M16,NylocNut_M16_ISO10511,26.75,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M16_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M16_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M16_ISO10511.FCStd
Nuts,Nyloc,ISO10511,M20,NylocNut_M20_ISO10511,32.94,C:\FastenersLib\Nuts\Nyloc\ISO10511\STEP\NylocNut_M20_ISO10511.step,C:\FastenersLib\Nuts\Nyloc\ISO10511\STL\NylocNut_M20_ISO10511.stl,C:\FastenersLib\Nuts\Nyloc\ISO10511\FCStd\NylocNut_M20_ISO10511.FCStd
