family,subtype,standard,diameter,name_stem,measured_max_span_mm,path_step,path_stl,path_fcstd
Nuts,Flange,ISO4161,M4,FlangeNut_M4_ISO4161,14.2,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M4_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M4_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M4_ISO4161.FCStd
Nuts,Flange,ISO4161,M5,FlangeNut_M5_ISO4161,11.8,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M5_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M5_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M5_ISO4161.FCStd
Nuts,Flange,ISO4161,M6,FlangeNut_M6_ISO4161,14.2,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M6_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M6_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M6_ISO4161.FCStd
Nuts,Flange,ISO4161,M8,FlangeNut_M8_ISO4161,17.89,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M8_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M8_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M8_ISO4161.FCStd
Nuts,Flange,ISO4161,M10,FlangeNut_M10_ISO4161,21.79,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M10_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M10_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M10_ISO4161.FCStd
Nuts,Flange,ISO4161,M12,FlangeNut_M12_ISO4161,25.99,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M12_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M12_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M12_ISO4161.FCStd
Nuts,Flange,ISO4161,M16,FlangeNut_M16_ISO4161,34.49,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M16_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M16_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M16_ISO4161.FCStd
Nuts,Flange,ISO4161,M20,FlangeNut_M20_ISO4161,42.79,C:\FastenersLib\Nuts\Flange\ISO4161\STEP\FlangeNut_M20_ISO4161.step,C:\FastenersLib\Nuts\Flange\ISO4161\STL\FlangeNut_M20_ISO4161.stl,C:\FastenersLib\Nuts\Flange\ISO4161\FCStd\FlangeNut_M20_ISO4161.FCStd
